Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,,Posting Updated
93086,DEPT OF INFO TECH & TELECOMM,External,1,Director of Strategic Technology Development,COMPUTER SYSTEMS MANAGER,10050,M1,49492,101500,Annual,75 Park Place New York Ny,Strategic Technology Dev,"DoITT is responsible for modernizing, unlocking, and innovating to improve IT infrastructure and service delivery in New York City government. Modernizing by implementing state-of-the-art information technology to improve services to New Yorkers. Unlocking by making government more transparent and accountable to New Yorkers. Innovating by employing cutting-edge tools, methods, and relationships to empower New Yorkers.    The successful candidate will serve as the Director of Strategic Technology Development reporting to the Office of Strategic Technology Development.   Responsibilities will include: Lead and manage the development and communications for various initiatives, products and strategies in collaboration with other DoITT units including but not limited to Project Management Services, Enterprise Application services, Policy, Planning and Communications, Enterprise Architecture, and IT Services; build and maintain online and offline collaborative relationships between City IT staff and external IT communities of practice, including small businesses and drive awareness of City IT initiatives and opportunities within these communities; prepare senior level technical reports for executive management; and manage special technology projects and initiatives as assigned. The positionÌ¢‰âÂ‰ã¢s responsibilities include commitment to and compliance with the CityÌ¢‰âÂ‰ã¢s EEO policy.","1. A master's degree in computer science from an accredited college and three years of progressively more responsible, full-time, satisfactory experience using information technology in computer applications programming, systems programming, computer systems development, data telecommunications, database administration, planning of data/information processing, user services, or area networks at least 18 months of this experience must have been in an administrative, managerial or executive capacity in the areas of computer applications programming, systems programming, computer systems development, data telecommunications, data base administration, or planning of data processing or in the supervision of staff performing these duties; or  2. A baccalaureate degree from an accredited college and four years of experience as described in ''1'' above; or  3. A four-year high school diploma or its educational equivalent approved by a State's department of education or recognized accrediting organization and six years of experience as described in ''1'' above; or  4. A satisfactory combination of education and experience equivalent to ''1'', ''2'' or ''3'' above. However, all candidates must have at least a four-year high school diploma or its educational equivalent approved by a State's department of education or recognized accrediting organization and must possess at least three years of experience as described in ''1'' above, including the 18 months of administrative, managerial, executive or supervisory experience as described in  ''1'' above.  Qualification Requirements (continued)  NOTE: The following types of experience are not acceptable: superficial use of preprogrammed software without complex programming, design, implementation or management of the product; use of word processing packages; use of a hand held calculator; primarily the entering or updating of data in a system; the operation of data processing hardware or consoles.","The preferred candidate should have the following: A bachelorÌ¢‰âÂ‰ã¢s degree in a related field; 4+ years experience in Information Technology; experience in project management processes, techniques and tools; experience in facilitating organizational change including collaboration with senior-level stakeholders; strong understanding of and experience in open government technologies, open source, web and social media; strong planning and leadership skills; outstanding collaboration and team building skills; strong written and verbal communication skills; excellent analytic, organization, presentation and facilitation skills; demonstrated experience working with technical and non-technical staff; exceptional knowledge of Microsoft Office programs; ability to manage multiple tasks under tight deadlines; and the ability to interface with executive level management and give senior level presentations.", ,"For City employees, please go to Employee Self Service (ESS), click on Recruiting Activities > Careers, and search for Job ID #93086   For all other applicants, please go to www.nyc.gov/careers and search for Job ID #93086   -or-   If you do not have access to a computer, please mail resume indicating Job ID # to:  Department of Information Technology and Telecommunications (DoITT)  Recruitment Office - 75 Park Place, 9th Floor - New York, NY 10007    SUBMISSION OF A RESUME IS NOT A GUARANTEE THAT YOU WILL RECEIVE AN INTERVIEW  APPOINTMENTS ARE SUBJECT TO OVERSIGHT APPROVAL","Day - Due to the necessary technical management duties of this position in a 24/7 operation, candidate may be required to be on call and/or work various shifts such as weekends and/or evenings.", ,,New York City Residency is not required for this position,9/8/11 0:00,,9/8/11 0:00
97899,DEPARTMENT OF BUSINESS SERV.,Internal,1,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,10009,M3,60740,162014,Annual,110 William St. N Y,Bus SVS & Recruitment,"The New York City Department of Small Business Services (SBS) is a vibrant, client-centered agency whose mission is to serve New YorkÌ¢‰âÂ‰ã¢s small businesses, jobseekers and commercial districts.  SBS makes it easier for companies in New York City to start, operate, and expand by providing direct assistance to business owners, supporting commercial districts, promoting financial and economic opportunity among minority- and women-owned businesses, preparing New Yorkers for jobs, and linking employers with a skilled and qualified workforce.  SBS continues to reach for higher professional standards through innovative systems, new approaches to government, and a strong focus on its employees.    NYC Business Solutions is a set of services offered by the NYC Department of Small Business Services to help businesses start, operate, and expand in New York City.  All services are offered at no cost and are available to businesses of any size and at any stage.  Services can be accessed through the cityÌ¢‰âÂ‰ã¢s 7 NYC Business Solutions Centers, 6 Career Centers, and 3 Sector Centers located throughout the 5 boroughs.  In 2010, NYC Business Solutions provided services to over 10,000 business customers located throughout the five boroughs.    The Executive Director of Business Development will lead agency efforts to acquire new business customers and to increase the number of NYC Business Solutions services utilized by existing customers. The Executive Director is responsible for developing the business development strategy for all NYC Business Solutions services and ensuring effective implementation through the management of internal and external sales resources. The Executive Director will provide direct supervision to 3 Senior Account Managers and will oversee 16 sales teams in the field (70 total field staff).  The Executive Director will also lead the professional development program for all staff engaging directly with business customers and is responsible for collaborating with the NYC Business Solutions marketing team to improve brand recognition throughout the five boroughs.    Specific responsibilities include:     Develop and execute the AgencyÌ¢‰âÂ‰ã¢s business development strategy for all NYC Business Solutions services    Identify business targets and coordinate sales efforts across sales teams to ensure efficient usage of system-wide resources    Manage sales teams to meet their quarterly and annual sales goals through quarterly business development planning meetings and regular check-ins    Directly supervise three Senior Account Managers and oversee approximately 70 field staff located at the cityÌ¢‰âÂ‰ã¢s 7 NYC Business Solutions Centers, 6 Career Centers, and 3 Sector Centers    Track and analyze system sales activities using Oracle CRM On Demand    Collaborate with NYC Business Solutions and Workforce1 program management teams to link sales activity and service delivery    Identify and create sales tools that enable sales teams to more effectively sell NYC Business Solutions services    Design and implement the professional development program for all business facing staff   Develop curriculum and lead sales training sessions for new and existing staff  Organize and lead industry knowledge sessions with sector experts to deepen sales teamsÌ¢‰âÂ‰ã¢ understanding of business prospects   Lead sector focused working groups to build industry expertise and  disseminate best practices across sales teams  Increase awareness of NYC Business Solutions Services throughout the five boroughs of New York City  Assist the marketing team to develop brochures, flyers, and advertisements to promote NYC Business Solutions services and events  Participate in panel discussions and deliver public presentations at events  Establish partnerships with non-profit organizations, government agencies, and the private sector to generate referrals for NYC Business Solutions services      Preferred Skills:  The ideal candidate will have demonstrated success developing and ","1. A baccalaureate degree from an accredited college or university and five years of full-time paid experience acquired within the last fifteen years, of supervisory or administrative experience including handling of business promotion or urban economic problems, at least 2 years of which must have been in a managerial or executive capacity with primary focus on business promotion or urban economic planning; or    2. A satisfactory equivalent combination of education and experience. However all candidates must have 2 years of managerial or executive experience as described in ''1'' above.     Appropriate graduate study in an accredited college or university may be substituted for the general experience on a year-for-year basis. All candidates must have a four-year high school diploma or its equivalent approved by a State's Department of Education or a recognized accrediting organization.", , ,"In addition to applying through this website,  also email your resume and cover letter including the following subject line:     Executive Director Ì¢‰âÂ‰ÛÏ Business Development to: careers@sbs.nyc.gov       Salary range for this position is: $85,000 - $87,000 per year    NOTE: Only those candidates under consideration will be contacted.", , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",1/26/12 0:00,,1/26/12 0:00
102221,DEPT OF ENVIRONMENT PROTECTION,External,1,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,20616,0,43349,52496,Annual,253 Broadway New York Ny,Envrnmntl Planng/Ofc of Brnf,"Under direct supervision, perform elementary environmental engineering work in the field, office or laboratory and receives training in engineering work of moderate difficulty and responsibility on the Assistant Environmental Engineer level.  The work and training may be in one or more of the following engineering areas: development, design, drafting, specifications, estimating, construction, inspection, operations, maintenance, prepares associated reports and correspondence and maintains records; performs related work.  The candidate will review investigation and remediation work plans and reports, evaluate and interpret environmental data, inspect remedial work activities schedule projects and will assist in evaluating work performance.  This position is a grant funded two year position.","A Baccalaureate degree from an accredited college in environmental, chemical, mechanical, petroleum, aeronautical or materials engineering.  A Baccalaureate degree in engineering technology is not acceptable.", ,Appointments are subject to OMB approval,click the apply now button,35 hours per week/day, ,,New York City Residency is not required for this position,6/21/12 0:00,,9/7/12 0:00
102221,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Project Specialist,ENVIRONMENTAL ENGINEERING INTE,20616,0,43349,52496,Annual,253 Broadway New York Ny,Envrnmntl Planng/Ofc of Brnf,"Under direct supervision, perform elementary environmental engineering work in the field, office or laboratory and receives training in engineering work of moderate difficulty and responsibility on the Assistant Environmental Engineer level.  The work and training may be in one or more of the following engineering areas: development, design, drafting, specifications, estimating, construction, inspection, operations, maintenance, prepares associated reports and correspondence and maintains records; performs related work.  The candidate will review investigation and remediation work plans and reports, evaluate and interpret environmental data, inspect remedial work activities schedule projects and will assist in evaluating work performance.  This position is a grant funded two year position.","A Baccalaureate degree from an accredited college in environmental, chemical, mechanical, petroleum, aeronautical or materials engineering.  A Baccalaureate degree in engineering technology is not acceptable.", ,Appointments are subject to OMB approval,click the apply now button,35 hours per week/day, ,,New York City Residency is not required for this position,6/21/12 0:00,,9/7/12 0:00
114352,DEPT OF ENVIRONMENT PROTECTION,Internal,5,Deputy Plant Chief,SENIOR STATIONARY ENGINEER (EL,91639,0,109850,109850,Annual,"Wards Island, N.Y.",Wards Island,"Under general direction, is in responsible charge of the operation, maintenance, repair,  testing and adjustment of all equipment, apparatus and structures of one or more  electrically powered wastewater treatment plants, dewatering facilities and/or collection facilities.  Supervises and coordinates the work of location personnel.    CERTIFICATION REQUIREMENT:    Candidates appointed to the Wastewater Treatment Plants operated by the Department of Environmental Protection must possess certification as a Grade 3 Operator of Public Sewage Treatment Plants by the New York State Department of Environmental Conservation.  This certification must be maintained for the duration of the assignment.","1. Six years of full-time satisfactory experience within the last 10 years in responsible charge of the operation of plants or facilities utilizing high tension electrical equipment (over 600 volts), including troubleshooting and repairing such equipment, in one or more of the following: electrical generating stations, electrical switching stations, water treatment plants, wastewater treatment plants, water pumping stations or high volume ventilation systems, one year of which must have been in a supervisory capacity; or    2. Three years of full-time satisfactory experience as described in ''1'' above, one year of which must have been in a supervisory capacity, and a baccalaureate degree in electrical, civil or mechanical engineering from an accredited college; or    3. Five years of full-time satisfactory experience as described in ''1'' above, one year of which must have been in a supervisory capacity, and an associate degree in Science or Applied Science from an accredited college with a major in Water Quality Monitoring, Wastewater Treatment Plant Operations, Environmental Health, Environmental Control, Electrical Technology or Mechanical Technology; or    4. Three years of full-time satisfactory experience as described in ''1'' above, and four years of full-time satisfactory experience as an electrician; one year of this experience must have been in a supervisory capacity; or    5. Six years of full-time satisfactory experience within the last 10 years as an electrician, including three years of full-time satisfactory experience troubleshooting and repairing high tension electrical equipment (600 volts or more), as described in ''1'' above; one year of this experience must have been in a supervisory capacity; or    6. A satisfactory combination of education and/or experience which is equivalent to ''1'', ''2'', ''3'', ''4'' or ''5'' above. Education may be substituted for experience on the basis that one year of experience is equivalent to 60 semester credits from an accredited college leading to a baccalaureate or associate degree in one of the disciplines described in ''2'' or ''3'' above. However, all candidates must have at least three years of satisfactory experience as described in ''1'' above, except for candidates who qualify under ''5'' above, and at least one year of supervisory experience.    License Requirement    Must possess a motor vehicle driver license valid in the State of New York. This license must be maintained for the duration of employment.", ,"Appointments are subject to OMB approval    For additional information about DEP, visit www.nyc.gov/dep",Click ''Apply Now'' button,40 per week / day,Various,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",12/12/12 0:00,,12/13/12 0:00
117261,DEPT OF ENVIRONMENT PROTECTION,External,1,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,20202,0,43349,52496,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,"The selected candidate will be responsible for managing and prioritizing the implementation of the NYC Green Roof Tax Abatement (GRTA) as well as working on green infrastructure projects in DEPÌ¢‰âÂ‰ã¢s Office of Green Infrastructure.     Tasks related to the GRTA will include advising applicants toward successful timely completion of building permit and abatement application processes; performing post-construction and compliance period inspections of green roofs required by the abatement; and tracking permit applications for green roofs and other onsite green infrastructure installations on private development lots.  The selected candidate will review consultantÌ¢‰âÂ‰ã¢s design of onsite green infrastructure proposals and their code compliance.  The selected candidate should have experience with onsite GI practices such as green roofs, plan review, drainage analysis, soil mechanics, and an understanding of structural analyses and roof loadings.      The selected candidate will also conduct field Inspections and document construction of Green Infrastructure in Right of Way and on-site.  Duties related to green infrastructure include identifying potential locations for the construction of green infrastructure by hydraulic analysis, developing drawings, write specifications and prepare estimates of quantities.  The selected candidate will conduct field investigations for potential construction; manage design and construction projects; review or examine plans for the construction, demolition or alteration of structures to comply with the provisions of the law, rule, or regulation; check shop drawings; inspect construction operations by observing, checking and certifying the installation of materials/equipment and attests to equipment performance and tests and materials; engage in research, investigation, or studies related to the engineering functions or activities of the Office of Green Infrastructure.     The selected candidate will make presentations to and coordinate with other DEP Bureaus, City agencies, and local stakeholder and community organizations.",A baccalaureate degree in civil engineering from an accredited college. A degree in civil engineering technology is not acceptable., ,"Appointments are subject to OMB approval. For additional information about DEP, visit www.nyc.gov/dep.",Click the ''APPLY NOW'' button.,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,2/20/13 0:00,,2/25/13 0:00
117261,DEPT OF ENVIRONMENT PROTECTION,Internal,1,CIVIL ENGINEERING INTERN,CIVIL ENGINEERING INTERN,20202,0,43349,52496,Annual,59-17 Junction Blvd Corona Ny,Green Infrastructure,"The selected candidate will be responsible for managing and prioritizing the implementation of the NYC Green Roof Tax Abatement (GRTA) as well as working on green infrastructure projects in DEPÌ¢‰âÂ‰ã¢s Office of Green Infrastructure.     Tasks related to the GRTA will include advising applicants toward successful timely completion of building permit and abatement application processes; performing post-construction and compliance period inspections of green roofs required by the abatement; and tracking permit applications for green roofs and other onsite green infrastructure installations on private development lots.  The selected candidate will review consultantÌ¢‰âÂ‰ã¢s design of onsite green infrastructure proposals and their code compliance.  The selected candidate should have experience with onsite GI practices such as green roofs, plan review, drainage analysis, soil mechanics, and an understanding of structural analyses and roof loadings.      The selected candidate will also conduct field Inspections and document construction of Green Infrastructure in Right of Way and on-site.  Duties related to green infrastructure include identifying potential locations for the construction of green infrastructure by hydraulic analysis, developing drawings, write specifications and prepare estimates of quantities.  The selected candidate will conduct field investigations for potential construction; manage design and construction projects; review or examine plans for the construction, demolition or alteration of structures to comply with the provisions of the law, rule, or regulation; check shop drawings; inspect construction operations by observing, checking and certifying the installation of materials/equipment and attests to equipment performance and tests and materials; engage in research, investigation, or studies related to the engineering functions or activities of the Office of Green Infrastructure.     The selected candidate will make presentations to and coordinate with other DEP Bureaus, City agencies, and local stakeholder and community organizations.",A baccalaureate degree in civil engineering from an accredited college. A degree in civil engineering technology is not acceptable., ,"Appointments are subject to OMB approval. For additional information about DEP, visit www.nyc.gov/dep.",Click the ''APPLY NOW'' button.,35 hrs week/day shift,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,2/20/13 0:00,,2/25/13 0:00
176605,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Special Assistant, Center for Health Equity",STAFF ANALYST,12626,2,52670,67459,Annual,42-09 28th Street,Center for Health Equity,"** OPEN ONLY TO EMPLOYEES WHO ARE CURRENTLY SERVING AS PERMANENT  STAFF ANALYST.  YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR RESUME OR COVER LETTER.  ALL OTHER CANDIDATES WILL NOT BE CONSIDERED.       The newly created Center for Health Equity (CHE) will align efforts in advancing health equity across the city and ensure that we deploy resources to reduce health and mental health disparities across all neighborhoods in New York City.  The CHE will work in collaboration with community-based partners, building on work the District Public Health Offices and others have pursued over the years.  The Center will focus on three key areas: leveraging policy changes to better integrate primary care and public health to serve the health needs of communities; building interagency collaboration to implement a multi-sectorial approach to addressing the root causes of health disparities; and increasing access to care by making services more accessible in neighborhoods with the worst health outcomes.   The ultimate goal is to reduce differences in health outcomes that can be traced to unequal economic, environmental and social conditions.     DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:     --Act as the Associate Commissioner's liaison for assigned projects associated with placed=based initiatives, and in particular with the Shop Healthy Initiative.     -- Provide assistance in analysis, project management and/or execution where necessary.     -- Be responsible for evaluating, analyzing and reporting on key initiatives with specific attention to successes, challenges and use of resources.     -- Participate in agency meetings and inter-agency projects and initiatives, as assigned.     -- Provide updates on current projects by gathering information from project managers and leaders, prompting them for any necessary actions and documentation progress.","1. A masterÌ¢‰âÂ‰ã¢s degree from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and the Council for Higher Education Accreditation (CHEA) in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, urban studies or a closely related field; or  2. A baccalaureate degree from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and the Council for Higher Education Accreditation (CHEA) and two years of satisfactory full-time professional experience working in one or a combination of the following areas: working with the budget of a large public or private concern in budget administration, accounting, economic or financial administration, or fiscal or economic research; or in management or methods analysis, operations research, organizational research or program evaluation; or in personnel or public administration, recruitment, position classification, personnel relations, labor relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, social services program planning/evaluation or fiscal management; or in a related area.  Special Note:  To be eligible for placement in Assignment Level II, individuals must have, after meeting the minimum requirements, one additional year of professional experience as described in ''2'' above.","Strong planning, policy development, writing and project management skills are necessary Successful candidate will be analytical, creative, flexible, and able to meet tight deadlines and able to manage several tasks and projects from all stages; good problem solving skills; excellent interpersonal, communication and presentation skills;  Master's degree in public health, public policy, public administration or a related field desirable, knowledge of and experience with public health.", ,"Apply online with a cover letter to https://a127-jobs.nyc.gov/.  In the Job ID search bar, enter: job ID number #     We appreciate the interest and thank all applicants who apply, but only those candidates under consideration will be contacted.", ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",11/25/14 0:00,,11/25/14 0:00
176605,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Special Assistant, Center for Health Equity",STAFF ANALYST,12626,2,52670,67459,Annual,42-09 28th Street,Center for Health Equity,"** OPEN ONLY TO EMPLOYEES WHO ARE CURRENTLY SERVING AS PERMANENT  STAFF ANALYST.  YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR RESUME OR COVER LETTER.  ALL OTHER CANDIDATES WILL NOT BE CONSIDERED.       The newly created Center for Health Equity (CHE) will align efforts in advancing health equity across the city and ensure that we deploy resources to reduce health and mental health disparities across all neighborhoods in New York City.  The CHE will work in collaboration with community-based partners, building on work the District Public Health Offices and others have pursued over the years.  The Center will focus on three key areas: leveraging policy changes to better integrate primary care and public health to serve the health needs of communities; building interagency collaboration to implement a multi-sectorial approach to addressing the root causes of health disparities; and increasing access to care by making services more accessible in neighborhoods with the worst health outcomes.   The ultimate goal is to reduce differences in health outcomes that can be traced to unequal economic, environmental and social conditions.     DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:     --Act as the Associate Commissioner's liaison for assigned projects associated with placed=based initiatives, and in particular with the Shop Healthy Initiative.     -- Provide assistance in analysis, project management and/or execution where necessary.     -- Be responsible for evaluating, analyzing and reporting on key initiatives with specific attention to successes, challenges and use of resources.     -- Participate in agency meetings and inter-agency projects and initiatives, as assigned.     -- Provide updates on current projects by gathering information from project managers and leaders, prompting them for any necessary actions and documentation progress.","1. A masterÌ¢‰âÂ‰ã¢s degree from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and the Council for Higher Education Accreditation (CHEA) in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, urban studies or a closely related field; or  2. A baccalaureate degree from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and the Council for Higher Education Accreditation (CHEA) and two years of satisfactory full-time professional experience working in one or a combination of the following areas: working with the budget of a large public or private concern in budget administration, accounting, economic or financial administration, or fiscal or economic research; or in management or methods analysis, operations research, organizational research or program evaluation; or in personnel or public administration, recruitment, position classification, personnel relations, labor relations, employee benefits, staff development, employment program planning/administration, labor market research, economic planning, social services program planning/evaluation or fiscal management; or in a related area.  Special Note:  To be eligible for placement in Assignment Level II, individuals must have, after meeting the minimum requirements, one additional year of professional experience as described in ''2'' above.","Strong planning, policy development, writing and project management skills are necessary Successful candidate will be analytical, creative, flexible, and able to meet tight deadlines and able to manage several tasks and projects from all stages; good problem solving skills; excellent interpersonal, communication and presentation skills;  Master's degree in public health, public policy, public administration or a related field desirable, knowledge of and experience with public health.", ,"Apply online with a cover letter to https://a127-jobs.nyc.gov/.  In the Job ID search bar, enter: job ID number #     We appreciate the interest and thank all applicants who apply, but only those candidates under consideration will be contacted.", ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",11/25/14 0:00,,11/25/14 0:00
202767,DEPT OF ENVIRONMENT PROTECTION,Internal,1,EHS Compliance Systems Specialist,ASSOCIATE PROJECT MANAGER,22427,2,65822,96470,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection,"The New York City Department of Environmental Protection (DEP) protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. We deliver 1.1 billion gallons of high quality drinking water per day to 8.3 million New York City residents and more than 1 million people in Upstate New York, and we collect and treat an average of 1.3 billion gallons of wastewater per day.  The Office of Environmental Health and Safety seeks to hire an Associate Project Manager II to fill the position of EHS Compliance Systems Specialist, located in Flushing, New York.  Under general direction, but with latitude for independent action and judgment, the selected candidate will be responsible for planning, coordinating and directing the implementation and management of various centralized EHS tracking systems administered by OEHS. Tasks will involve handling every aspect of existing EHS tracking systems such as; Notice of Violence (NOV) tracking database, Employee Concern tracking database, Workplace Violence Prevention tracking database, Environmental Pollution Agency (EAP) ID# tracking, Legacy Action tracking system (LATS) as well as aspects of a new Ì¢‰âÂÅÒincident management & reporting tracking databaseÌ¢‰âÂåù which will be rolled out in the near future. Researching current methodologies as it applies to managing various EHS tracking systems.  The duties of the selected candidate will include;   *  Maintain management information system to provide data, and database updates, track     progress and generate periodic reports for metrics.   *  Periodic field visits to assist Program Director in conducting facility walk-throughs and      workplace violence related investigations.  *  Assist Bureau users of database with proper and efficient use of the tracking systems.   *  Assess EHS tracking systems and collaborate with the IT professional at OEHS to make     improvements that will increase the efficiency of the various tracking systems at OEHS.   *  Performs QA/QC on all entries made into the tracking systems, provide technical assistance     and with the assistance of IT professional at OEHS, perform periodic upgrades to the     tracking systems in order to accommodate new revisions made to policy documents     associated with database.   *  Develop appropriate user training modules for the various centralized EHS tracking systems.   *  Attend meetings, take notes and prepare minutes for periodic compliance systems group       meetings, workplace violence prevention task force meetings and other meetings that     involves the participation of the EHS compliance systems unit.  *  Assist Unit Director with EHS & Workplace Violence (WPV) interviews and investigations     when necessary.","One year of full-time satisfactory experience in supervising employees performing project management work, such as planning, administering, managing, coordinating, or expediting, on engineering and/or architectural and/or landscape architectural projects, or supervising a construction project with a value of $1,000,000 or more, and either:  1. A baccalaureate degree from an accredited college in engineering, engineering technology, architecture, architectural technology, landscape architecture, business administration, or public administration, and one year of full-time satisfactory experience in project management work, such as planning, administering, managing, coordinating, or expediting, for engineering and/or architectural and/or landscape architectural projects; or  2. A four-year high school diploma or its educational equivalent approved by a StateÌ¢‰âÂ‰ã¢s Department of Education or a recognized accrediting organization and five years of experience as described in Ì¢‰âÂÅÒ1Ì¢‰âÂåù above; or  3. A four-year high school diploma or its educational equivalent approved by a StateÌ¢‰âÂ‰ã¢s Department of Education or a recognized accrediting organization plus any combination of college education and/or experience described in Ì¢‰âÂÅÒ1Ì¢‰âÂåù above to make up the equivalent of five years of education and experience. One year of experience credit will be given for (a) each 30 semester credits of college education leading to a bachelorÌ¢‰âÂ‰ã¢s degree from an accredited college in engineering, engineering technology, architecture, architectural technology, landscape architecture, business administration or public administration; (b)  a Masters degree from an accredited university in one of the disciplines described in Ì¢‰âÂÅÒ1Ì¢‰âÂåù above; or (c) a valid New York State license as a Professional Engineer, Registered Architect, or Registered Landscape Architect.  Experience which is primarily of a design nature is not acceptable towards meeting the qualification requirements.	     For placement into Assignment Level II, in addition to meeting the qualification requirements for Assignment Level I, candidates must have at least one additional year of experience as described in ''1'' above in a supervisory capacity or have served for at least one year as a project manager for a large and/or complex construction project.    For placement into Assignment Level III,  in addition to meeting the qualification requirements for Assignment Level I, candidates must have at least two additional years of experience as described in ''1'' above in a supervisory capacity or have served for at least two additional years as a project manager for a large and/or complex construction project",, ,Press the apply now button,35 hours per week,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,8/6/15 0:00,,8/6/15 0:00
